name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Athens,GR",2022-02-15,14.8,2.7,9,14.8,1,8.8,5,76.7,0,0,0,,0,0,27.9,11.8,250.1,1024.1,28.2,10,161.8,14.1,6,10,2022-02-15T07:15:17,2022-02-15T18:03:39,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-16,17,5,10.8,17,5,10.8,7.6,81.3,0,0,0,rain,0,0,40,19.9,192.1,1019.9,46,9.9,131.4,11.3,6,10,2022-02-16T07:14:06,2022-02-16T18:04:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E0407,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-17,14,7.7,11,14,7.7,11,8.2,83.5,1.791,100,12.5,rain,0,0,45.4,23.5,202.4,1013.3,67.1,9.9,73,6.3,4,10,2022-02-17T07:12:53,2022-02-17T18:05:49,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-18,18.3,6.3,11.9,18.3,5.6,11.8,4.5,64.4,0,0,0,,0,0,45,25.3,358,1014,25.9,10,180,15.8,7,10,2022-02-18T07:11:39,2022-02-18T18:06:53,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E0407,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-19,17.5,5.3,11.9,17.5,5.3,11.6,3.5,58.1,0,0,0,,0,0,25.5,16,236.8,1020.8,5.6,10,183.4,16.2,7,10,2022-02-19T07:10:24,2022-02-19T18:07:57,0.54,Clear,Clear conditions throughout the day.,clear-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-20,15.7,8.7,12.4,15.7,8.3,12.4,8.4,77.2,0,0,0,,0,0,23.2,11.2,192.1,1018.9,81.4,9.7,61.8,5.6,3,10,2022-02-20T07:09:08,2022-02-20T18:09:01,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-21,19.7,9.7,14.3,19.7,9.3,14.2,8.6,70.3,0,0,0,,0,0,29.5,17.8,223,1013.8,41.8,10,166.2,14.4,6,10,2022-02-21T07:07:51,2022-02-21T18:10:05,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"16716199999,E0407,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-22,18.6,9.7,13.4,18.6,9.7,13.4,8.7,74.9,0.015,100,4.17,rain,0,0,33.5,22.3,203.3,1005.5,38.7,9.6,170.6,14.8,7,10,2022-02-22T07:06:33,2022-02-22T18:11:08,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16716199999,E0407,E4115,LGAV,16741099999,F5422,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-23,15,10.7,12.3,15,10.7,12.3,7.1,71.2,0.03,100,4.17,rain,0,0,56.3,34,0.7,1012,61,10,119.2,10.3,6,10,2022-02-23T07:05:14,2022-02-23T18:12:11,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"16716199999,E4115,F6908,LGAV,16741099999,16718099999,16716099999,16715099999"
"Athens,GR",2022-02-24,11.3,7.7,10.1,11.3,4.5,8.9,3.3,63.5,0.641,100,12.5,rain,0,0,64.7,39.5,351.6,1017.2,62,10,155.6,13.3,7,10,2022-02-24T07:03:54,2022-02-24T18:13:14,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"16716199999,E0407,E4115,LGAV,16741099999,16718099999,16716099999,16715099999"
